Date;Time of day;Biomass[MWh];Hydropower[MWh];Wind offshore[MWh];Wind onshore[MWh];Photovoltaics[MWh];Other renewable[MWh];Nuclear[MWh];Fossil brown coal[MWh];Fossil hard coal[MWh];Fossil gas[MWh];Hydro pumped storage[MWh];Other conventional[MWh]
Jun 1, 2020;12:00 AM;1,164;373;1,324;3,437;0;33;1,895;828;428;614;186;259
Jun 1, 2020;12:15 AM;1,163;364;1,323;3,410;0;33;1,913;820;410;602;112;259
Jun 1, 2020;12:30 AM;1,161;361;1,324;3,406;0;33;1,910;817;405;602;127;259
Jun 1, 2020;12:45 AM;1,160;360;1,306;3,371;0;33;1,906;819;407;599;99;259
Jun 1, 2020;1:00 AM;1,163;364;1,306;3,301;0;33;1,919;817;406;584;90;258
Jun 1, 2020;1:15 AM;1,163;362;1,301;3,223;0;33;1,926;817;404;583;69;256
Jun 1, 2020;1:30 AM;1,166;365;1,267;3,141;0;33;1,931;827;406;577;90;258
Jun 1, 2020;1:45 AM;1,167;360;1,221;3,063;0;33;1,925;822;404;578;88;259
Jun 1, 2020;2:00 AM;1,167;358;1,193;2,992;0;33;1,928;817;405;585;112;259
Jun 1, 2020;2:15 AM;1,168;358;1,162;2,887;0;33;1,937;817;407;587;124;259
Jun 1, 2020;2:30 AM;1,163;356;1,151;2,778;0;33;1,943;818;408;589;105;259
Jun 1, 2020;2:45 AM;1,164;355;1,158;2,676;0;33;1,935;818;412;592;100;259
Jun 1, 2020;3:00 AM;1,170;351;1,136;2,590;0;33;1,947;814;413;590;33;259
Jun 1, 2020;3:15 AM;1,172;350;1,064;2,550;0;33;1,948;811;413;594;31;258
Jun 1, 2020;3:30 AM;1,173;350;952;2,491;0;33;1,945;812;412;595;26;259
Jun 1, 2020;3:45 AM;1,174;356;836;2,403;0;33;1,939;819;411;601;60;258
Jun 1, 2020;4:00 AM;1,172;360;711;2,336;0;33;1,944;811;408;596;78;259
Jun 1, 2020;4:15 AM;1,173;354;594;2,314;0;33;1,951;810;409;596;121;259
Jun 1, 2020;4:30 AM;1,170;346;502;2,296;1;33;1,953;817;410;597;172;259
Jun 1, 2020;4:45 AM;1,172;344;473;2,278;2;33;1,953;845;408;596;172;259
Jun 1, 2020;5:00 AM;1,173;343;424;2,267;13;33;1,951;866;430;594;86;259
Jun 1, 2020;5:15 AM;1,172;341;362;2,274;36;33;1,952;874;433;596;55;259
Jun 1, 2020;5:30 AM;1,170;347;332;2,204;87;33;1,955;877;430;591;78;259
Jun 1, 2020;5:45 AM;1,171;345;329;2,112;177;33;1,955;878;428;591;64;259
Jun 1, 2020;6:00 AM;1,169;340;335;2,037;303;33;1,954;877;431;591;94;258
Jun 1, 2020;6:15 AM;1,171;339;349;1,953;478;33;1,953;872;429;587;99;258
Jun 1, 2020;6:30 AM;1,168;338;360;1,880;706;33;1,952;869;430;587;116;259
Jun 1, 2020;6:45 AM;1,173;340;362;1,741;1,004;33;1,953;874;443;585;138;259
Jun 1, 2020;7:00 AM;1,173;343;368;1,549;1,345;33;1,955;872;473;605;284;259
Jun 1, 2020;7:15 AM;1,171;345;382;1,352;1,729;33;1,955;883;476;606;403;258
Jun 1, 2020;7:30 AM;1,175;340;394;1,191;2,154;33;1,952;874;471;597;351;255
Jun 1, 2020;7:45 AM;1,172;341;407;1,087;2,606;33;1,953;877;471;607;364;256
Jun 1, 2020;8:00 AM;1,172;341;425;1,016;3,076;33;1,952;865;471;597;430;256
Jun 1, 2020;8:15 AM;1,171;340;468;961;3,546;33;1,952;863;476;588;313;257
Jun 1, 2020;8:30 AM;1,172;342;512;942;4,018;33;1,937;862;478;584;261;256
Jun 1, 2020;8:45 AM;1,169;345;536;926;4,480;33;1,930;864;476;547;230;256
Jun 1, 2020;9:00 AM;1,169;350;567;937;4,926;33;1,938;887;477;494;148;256
Jun 1, 2020;9:15 AM;1,167;344;609;994;5,341;33;1,937;873;478;484;77;256
Jun 1, 2020;9:30 AM;1,165;343;638;1,087;5,742;33;1,936;848;476;480;34;256
Jun 1, 2020;9:45 AM;1,163;344;638;1,091;6,130;33;1,928;848;476;486;11;256
Jun 1, 2020;10:00 AM;1,160;359;638;1,149;6,495;33;1,936;863;477;475;50;257
Jun 1, 2020;10:15 AM;1,159;352;653;1,204;6,824;33;1,935;853;476;471;106;257
Jun 1, 2020;10:30 AM;1,156;342;677;1,295;7,119;33;1,933;842;477;476;56;256
Jun 1, 2020;10:45 AM;1,156;343;682;1,424;7,371;33;1,931;841;476;479;35;256
Jun 1, 2020;11:00 AM;1,160;344;675;1,550;7,583;33;1,933;809;458;479;35;256
Jun 1, 2020;11:15 AM;1,155;344;653;1,631;7,752;33;1,915;816;457;511;34;268
Jun 1, 2020;11:30 AM;1,157;344;627;1,710;7,884;33;1,908;809;455;510;33;268
Jun 1, 2020;11:45 AM;1,153;336;609;1,808;8,007;33;1,862;799;454;504;8;268
Jun 1, 2020;12:00 PM;1,157;329;617;1,869;8,103;33;1,799;805;460;481;22;268
Jun 1, 2020;12:15 PM;1,154;323;617;1,911;8,214;33;1,757;801;465;488;6;267
Jun 1, 2020;12:30 PM;1,155;324;621;1,900;8,274;33;1,722;795;465;491;6;267
Jun 1, 2020;12:45 PM;1,155;310;625;1,858;8,296;33;1,666;799;467;496;4;268
Jun 1, 2020;1:00 PM;1,156;301;622;1,707;8,299;33;1,639;803;456;502;25;268
Jun 1, 2020;1:15 PM;1,152;305;580;1,569;8,265;33;1,656;801;454;497;8;269
Jun 1, 2020;1:30 PM;1,152;301;563;1,478;8,230;33;1,645;801;455;496;5;269
Jun 1, 2020;1:45 PM;1,153;300;571;1,433;8,154;33;1,629;798;452;503;20;263
Jun 1, 2020;2:00 PM;1,153;296;551;1,347;8,087;33;1,636;804;461;506;15;269
Jun 1, 2020;2:15 PM;1,152;304;510;1,325;7,941;33;1,647;805;464;500;5;269
Jun 1, 2020;2:30 PM;1,151;294;488;1,386;7,861;33;1,655;796;465;508;3;268
Jun 1, 2020;2:45 PM;1,153;292;465;1,443;7,717;33;1,640;802;462;501;2;268
Jun 1, 2020;3:00 PM;1,155;300;442;1,656;7,529;33;1,634;797;458;494;3;268
Jun 1, 2020;3:15 PM;1,155;303;434;1,835;7,328;33;1,632;801;450;499;1;265
Jun 1, 2020;3:30 PM;1,155;298;449;1,969;7,091;33;1,636;802;452;502;0;267
Jun 1, 2020;3:45 PM;1,158;308;441;2,193;6,816;33;1,655;810;452;500;0;268
Jun 1, 2020;4:00 PM;1,159;332;422;2,298;6,516;33;1,678;829;452;515;10;268
Jun 1, 2020;4:15 PM;1,158;352;414;2,268;6,211;33;1,742;839;458;512;32;270
Jun 1, 2020;4:30 PM;1,157;356;400;2,317;5,857;33;1,760;839;454;522;143;269
Jun 1, 2020;4:45 PM;1,164;365;391;2,289;5,482;33;1,816;825;457;527;263;270
Jun 1, 2020;5:00 PM;1,159;344;396;2,245;5,075;33;1,846;839;459;580;30;268
Jun 1, 2020;5:15 PM;1,163;374;394;2,255;4,653;33;1,862;856;457;626;11;269
Jun 1, 2020;5:30 PM;1,161;396;352;2,195;4,198;33;1,901;853;458;654;87;269
Jun 1, 2020;5:45 PM;1,163;412;337;2,195;3,737;33;1,920;866;463;737;220;269
Jun 1, 2020;6:00 PM;1,161;374;343;2,165;3,270;33;1,897;890;471;860;116;270
Jun 1, 2020;6:15 PM;1,161;379;339;2,162;2,799;33;1,905;907;476;894;232;269
Jun 1, 2020;6:30 PM;1,161;409;350;2,144;2,334;33;1,922;929;482;937;232;269
Jun 1, 2020;6:45 PM;1,162;429;367;2,149;1,895;33;1,926;1,028;491;975;381;269
Jun 1, 2020;7:00 PM;1,161;377;374;2,074;1,485;33;1,945;1,126;503;1,071;361;269
Jun 1, 2020;7:15 PM;1,161;429;391;2,044;1,136;33;1,949;1,146;502;1,104;488;270
Jun 1, 2020;7:30 PM;1,160;443;409;2,029;853;33;1,950;1,172;508;1,118;600;269
Jun 1, 2020;7:45 PM;1,154;442;432;1,973;645;33;1,946;1,177;535;1,152;727;269
Jun 1, 2020;8:00 PM;1,158;373;462;1,935;473;33;1,928;1,238;551;1,176;862;269
Jun 1, 2020;8:15 PM;1,156;381;485;1,918;326;33;1,925;1,318;532;1,172;766;270
Jun 1, 2020;8:30 PM;1,157;384;509;1,908;201;33;1,932;1,336;544;1,173;743;270
Jun 1, 2020;8:45 PM;1,155;378;520;1,935;106;33;1,943;1,365;529;1,170;637;272
Jun 1, 2020;9:00 PM;1,161;425;515;2,060;38;33;1,953;1,418;509;1,162;879;273
Jun 1, 2020;9:15 PM;1,160;428;508;2,224;9;33;1,953;1,432;494;1,163;706;273
Jun 1, 2020;9:30 PM;1,160;400;522;2,394;1;33;1,954;1,488;477;1,162;500;272
Jun 1, 2020;9:45 PM;1,155;370;537;2,537;0;33;1,942;1,530;480;1,169;371;273
Jun 1, 2020;10:00 PM;1,156;381;540;2,639;0;33;1,929;1,481;491;1,173;525;272
Jun 1, 2020;10:15 PM;1,149;355;537;2,774;0;33;1,928;1,460;493;1,174;394;272
Jun 1, 2020;10:30 PM;1,150;370;526;2,872;0;33;1,929;1,449;491;1,175;283;271
Jun 1, 2020;10:45 PM;1,155;364;521;2,907;0;33;1,929;1,378;468;1,170;288;273
Jun 1, 2020;11:00 PM;1,158;387;508;2,889;0;33;1,929;1,237;407;1,167;331;274
Jun 1, 2020;11:15 PM;1,157;352;484;2,844;0;33;1,928;1,193;412;1,167;266;273
Jun 1, 2020;11:30 PM;1,159;346;457;2,810;0;33;1,929;1,149;408;1,161;235;257
Jun 1, 2020;11:45 PM;1,154;344;436;2,766;0;33;1,929;1,114;407;1,164;235;197
Jun 2, 2020;12:00 AM;1,152;349;419;2,729;0;33;1,931;1,067;491;1,012;67;184
Jun 2, 2020;12:15 AM;1,153;343;381;2,677;0;33;1,931;1,034;524;993;32;184
Jun 2, 2020;12:30 AM;1,152;347;334;2,604;0;33;1,928;1,035;513;996;55;184
Jun 2, 2020;12:45 AM;1,148;345;284;2,504;0;33;1,930;1,035;515;995;36;184
Jun 2, 2020;1:00 AM;1,150;348;246;2,481;0;33;1,939;1,052;550;987;60;184
Jun 2, 2020;1:15 AM;1,152;354;230;2,414;0;33;1,938;1,033;551;1,002;43;183
Jun 2, 2020;1:30 AM;1,150;347;216;2,352;0;33;1,937;1,013;551;994;55;175
Jun 2, 2020;1:45 AM;1,154;348;213;2,283;0;33;1,938;1,016;555;987;51;175
Jun 2, 2020;2:00 AM;1,155;350;210;2,218;0;33;1,938;1,018;562;1,000;45;175
Jun 2, 2020;2:15 AM;1,157;349;207;2,188;0;33;1,938;1,023;558;1,017;40;175
Jun 2, 2020;2:30 AM;1,160;348;210;2,129;0;33;1,938;1,021;558;1,018;40;175
Jun 2, 2020;2:45 AM;1,157;349;205;2,082;0;33;1,938;1,020;550;1,012;62;178
Jun 2, 2020;3:00 AM;1,159;349;193;2,050;0;33;1,938;1,042;542;999;27;178
Jun 2, 2020;3:15 AM;1,158;346;188;1,999;0;33;1,937;1,059;544;1,016;26;178
Jun 2, 2020;3:30 AM;1,159;347;172;1,953;0;33;1,939;1,053;543;1,038;26;178
Jun 2, 2020;3:45 AM;1,155;344;159;1,906;0;33;1,938;1,061;544;1,062;51;178
Jun 2, 2020;4:00 AM;1,161;344;157;1,849;0;33;1,937;1,091;537;1,113;28;178
Jun 2, 2020;4:15 AM;1,163;343;161;1,794;0;33;1,933;1,106;537;1,119;26;178
Jun 2, 2020;4:30 AM;1,161;350;165;1,774;1;33;1,934;1,128;552;1,118;24;178
Jun 2, 2020;4:45 AM;1,161;354;167;1,748;2;33;1,936;1,157;559;1,087;27;178
Jun 2, 2020;5:00 AM;1,165;346;174;1,708;14;33;1,933;1,165;569;1,144;24;177
Jun 2, 2020;5:15 AM;1,167;344;176;1,703;39;33;1,929;1,256;581;1,211;23;177
Jun 2, 2020;5:30 AM;1,161;368;176;1,646;94;33;1,934;1,302;593;1,278;43;177
Jun 2, 2020;5:45 AM;1,165;377;179;1,557;188;33;1,940;1,383;610;1,297;173;177
Jun 2, 2020;6:00 AM;1,168;384;181;1,505;315;33;1,937;1,504;621;1,476;359;177
Jun 2, 2020;6:15 AM;1,167;384;171;1,444;490;33;1,941;1,600;635;1,638;397;177
Jun 2, 2020;6:30 AM;1,160;408;157;1,405;718;33;1,960;1,676;645;1,698;638;177
Jun 2, 2020;6:45 AM;1,160;409;156;1,297;1,001;33;1,962;1,705;676;1,731;769;179
Jun 2, 2020;7:00 AM;1,161;412;163;1,111;1,339;33;1,973;1,694;670;1,763;1,066;180
Jun 2, 2020;7:15 AM;1,161;424;169;940;1,722;33;1,979;1,696;626;1,816;1,183;180
Jun 2, 2020;7:30 AM;1,162;417;193;718;2,135;33;1,977;1,698;642;1,830;1,146;180
Jun 2, 2020;7:45 AM;1,161;421;204;549;2,578;33;1,977;1,695;653;1,885;1,156;180
Jun 2, 2020;8:00 AM;1,161;429;199;431;3,038;33;1,978;1,700;683;1,974;1,383;180
Jun 2, 2020;8:15 AM;1,161;418;198;347;3,496;33;1,977;1,697;692;2,008;1,281;180
Jun 2, 2020;8:30 AM;1,159;401;182;296;3,961;33;1,974;1,689;673;2,026;1,031;180
Jun 2, 2020;8:45 AM;1,152;367;172;252;4,412;33;1,973;1,701;651;2,032;725;180
Jun 2, 2020;9:00 AM;1,154;446;168;223;4,842;33;1,974;1,723;573;2,016;737;180
Jun 2, 2020;9:15 AM;1,152;415;172;203;5,233;33;1,973;1,709;549;2,037;641;180
Jun 2, 2020;9:30 AM;1,152;396;174;195;5,604;33;1,972;1,660;546;2,021;561;180
Jun 2, 2020;9:45 AM;1,152;384;175;202;5,948;33;1,970;1,598;546;2,002;340;180
Jun 2, 2020;10:00 AM;1,150;412;173;213;6,267;33;1,969;1,525;544;1,986;387;178
Jun 2, 2020;10:15 AM;1,147;401;175;226;6,573;33;1,967;1,477;562;1,947;248;177
Jun 2, 2020;10:30 AM;1,148;398;173;247;6,830;33;1,965;1,446;564;1,941;145;177
Jun 2, 2020;10:45 AM;1,146;376;167;272;7,072;33;1,965;1,426;559;1,874;145;177
Jun 2, 2020;11:00 AM;1,145;411;163;302;7,292;33;1,957;1,389;558;1,823;174;177
Jun 2, 2020;11:15 AM;1,143;393;156;345;7,499;33;1,951;1,378;559;1,815;174;177
Jun 2, 2020;11:30 AM;1,146;396;152;385;7,639;33;1,951;1,355;556;1,804;175;177
Jun 2, 2020;11:45 AM;1,143;368;143;426;7,779;33;1,951;1,308;557;1,820;164;177
Jun 2, 2020;12:00 PM;1,145;423;134;455;7,898;33;1,951;1,326;556;1,810;261;177
Jun 2, 2020;12:15 PM;1,145;393;131;470;7,984;33;1,950;1,334;561;1,919;172;191
Jun 2, 2020;12:30 PM;1,144;403;131;492;8,009;33;1,949;1,297;562;1,933;152;191
Jun 2, 2020;12:45 PM;1,141;378;130;477;8,030;33;1,948;1,267;553;1,947;120;189
Jun 2, 2020;1:00 PM;1,136;395;127;484;7,997;33;1,938;1,209;547;1,847;326;188
Jun 2, 2020;1:15 PM;1,138;398;129;404;7,915;33;1,939;1,182;546;1,858;344;188
Jun 2, 2020;1:30 PM;1,137;390;129;402;7,817;33;1,934;1,171;545;1,876;273;188
Jun 2, 2020;1:45 PM;1,139;394;126;421;7,707;33;1,933;1,185;540;1,853;98;188
Jun 2, 2020;2:00 PM;1,136;393;128;424;7,591;33;1,936;1,260;540;1,960;151;188
Jun 2, 2020;2:15 PM;1,132;406;125;580;7,474;33;1,941;1,299;542;1,975;183;188
Jun 2, 2020;2:30 PM;1,135;391;115;580;7,346;33;1,943;1,312;543;1,987;129;188
Jun 2, 2020;2:45 PM;1,137;397;98;604;7,167;33;1,943;1,298;547;1,876;235;188
Jun 2, 2020;3:00 PM;1,141;375;95;620;6,978;33;1,930;1,253;558;1,874;83;188
Jun 2, 2020;3:15 PM;1,143;371;93;598;6,741;33;1,929;1,268;563;1,904;104;188
Jun 2, 2020;3:30 PM;1,144;368;93;634;6,510;33;1,930;1,304;517;1,905;69;188
Jun 2, 2020;3:45 PM;1,146;367;99;647;6,263;33;1,929;1,398;518;1,913;61;188
Jun 2, 2020;4:00 PM;1,147;368;99;643;5,983;33;1,940;1,519;510;2,017;47;190
Jun 2, 2020;4:15 PM;1,145;380;105;677;5,687;33;1,949;1,572;505;2,049;73;190
Jun 2, 2020;4:30 PM;1,144;387;104;697;5,320;33;1,952;1,621;511;2,068;66;190
Jun 2, 2020;4:45 PM;1,146;445;112;695;4,981;33;1,952;1,702;516;2,092;154;190
Jun 2, 2020;5:00 PM;1,147;370;132;668;4,622;33;1,957;1,812;562;2,085;203;190
Jun 2, 2020;5:15 PM;1,148;386;102;678;4,228;33;1,958;1,895;582;2,099;395;190
Jun 2, 2020;5:30 PM;1,149;427;101;680;3,843;33;1,958;1,905;602;2,147;441;190
Jun 2, 2020;5:45 PM;1,149;450;124;686;3,430;33;1,958;1,919;485;2,182;658;190
Jun 2, 2020;6:00 PM;1,150;379;149;669;3,012;33;1,957;1,917;474;2,187;776;190
Jun 2, 2020;6:15 PM;1,149;401;143;675;2,607;33;1,957;1,945;630;2,258;972;190
Jun 2, 2020;6:30 PM;1,149;459;101;735;2,217;33;1,959;1,973;631;2,272;1,123;190
Jun 2, 2020;6:45 PM;1,148;466;86;803;1,836;33;1,959;2,022;653;2,294;1,353;190
Jun 2, 2020;7:00 PM;1,151;454;78;802;1,481;33;1,958;2,083;653;2,291;1,118;191
Jun 2, 2020;7:15 PM;1,152;471;67;809;1,160;33;1,958;2,133;658;2,307;1,105;191
Jun 2, 2020;7:30 PM;1,151;489;59;827;889;33;1,957;2,160;659;2,329;1,203;191
Jun 2, 2020;7:45 PM;1,152;493;55;791;672;33;1,956;2,173;664;2,348;1,328;191
Jun 2, 2020;8:00 PM;1,153;475;64;752;499;33;1,956;2,211;665;2,368;1,176;191
Jun 2, 2020;8:15 PM;1,155;480;72;733;341;33;1,956;2,223;667;2,363;1,107;191
Jun 2, 2020;8:30 PM;1,155;479;78;734;209;33;1,957;2,245;665;2,340;1,064;191
Jun 2, 2020;8:45 PM;1,151;438;93;740;106;33;1,955;2,298;668;2,304;940;191
Jun 2, 2020;9:00 PM;1,154;445;107;785;40;33;1,955;2,318;669;2,283;957;191
Jun 2, 2020;9:15 PM;1,156;413;116;821;9;33;1,958;2,329;664;2,277;883;191
Jun 2, 2020;9:30 PM;1,156;421;121;825;1;33;1,958;2,332;657;2,269;866;191
Jun 2, 2020;9:45 PM;1,153;392;130;835;0;33;1,958;2,321;646;2,266;740;191
Jun 2, 2020;10:00 PM;1,152;496;128;856;0;33;1,959;2,320;616;2,213;833;191
Jun 2, 2020;10:15 PM;1,152;467;127;862;0;33;1,960;2,326;598;2,158;872;191
Jun 2, 2020;10:30 PM;1,149;446;129;871;0;33;1,958;2,318;572;2,116;698;191
Jun 2, 2020;10:45 PM;1,148;387;141;876;0;33;1,955;2,252;560;2,116;540;214
Jun 2, 2020;11:00 PM;1,149;464;159;899;0;33;1,956;2,209;533;2,100;430;220
Jun 2, 2020;11:15 PM;1,154;414;161;952;0;33;1,956;2,188;518;2,105;298;221
Jun 2, 2020;11:30 PM;1,155;455;180;982;0;33;1,955;2,151;494;2,097;254;199
Jun 2, 2020;11:45 PM;1,154;445;198;994;0;33;1,956;2,091;492;2,068;174;192
Jun 3, 2020;12:00 AM;1,151;470;207;990;0;33;1,955;2,029;463;1,824;187;177
Jun 3, 2020;12:15 AM;1,150;425;216;1,007;0;33;1,955;2,017;466;1,842;113;177
Jun 3, 2020;12:30 AM;1,152;450;221;1,005;0;33;1,956;2,008;443;1,843;128;177
Jun 3, 2020;12:45 AM;1,150;429;226;1,000;0;33;1,949;1,999;407;1,833;109;177
Jun 3, 2020;1:00 AM;1,150;458;219;1,012;0;33;1,952;2,000;401;1,831;113;177
Jun 3, 2020;1:15 AM;1,152;469;212;1,012;0;33;1,953;1,986;399;1,821;121;177
Jun 3, 2020;1:30 AM;1,154;444;205;1,001;0;33;1,953;1,964;397;1,836;103;177
Jun 3, 2020;1:45 AM;1,151;445;204;971;0;33;1,957;1,937;396;1,825;96;177
Jun 3, 2020;2:00 AM;1,153;477;202;942;0;33;1,959;1,855;389;1,798;125;177
Jun 3, 2020;2:15 AM;1,154;467;208;907;0;33;1,959;1,788;387;1,788;97;177
Jun 3, 2020;2:30 AM;1,156;458;222;886;0;33;1,959;1,763;391;1,803;87;177
Jun 3, 2020;2:45 AM;1,156;454;227;865;0;33;1,960;1,681;392;1,805;84;177
Jun 3, 2020;3:00 AM;1,157;452;238;854;0;33;1,963;1,593;392;1,783;106;177
Jun 3, 2020;3:15 AM;1,159;440;250;824;0;33;1,964;1,571;391;1,783;79;177
Jun 3, 2020;3:30 AM;1,158;440;267;795;0;33;1,965;1,571;390;1,779;79;177
Jun 3, 2020;3:45 AM;1,162;443;289;776;0;33;1,967;1,535;391;1,780;88;177
Jun 3, 2020;4:00 AM;1,162;432;326;746;0;33;1,967;1,483;387;1,806;83;178
Jun 3, 2020;4:15 AM;1,163;439;377;726;0;33;1,966;1,482;388;1,814;93;178
Jun 3, 2020;4:30 AM;1,162;447;418;701;1;33;1,967;1,489;392;1,829;100;178
Jun 3, 2020;4:45 AM;1,161;445;451;702;2;33;1,967;1,566;389;1,828;93;178
Jun 3, 2020;5:00 AM;1,163;442;499;718;14;33;1,968;1,698;405;1,824;74;177
Jun 3, 2020;5:15 AM;1,164;424;541;750;42;33;1,965;1,774;405;1,822;71;177
Jun 3, 2020;5:30 AM;1,162;446;579;746;107;33;1,967;1,807;418;1,814;79;177
Jun 3, 2020;5:45 AM;1,164;479;600;731;215;33;1,970;1,886;437;1,844;79;177
Jun 3, 2020;6:00 AM;1,163;465;607;707;362;33;1,972;1,983;471;1,876;239;177
Jun 3, 2020;6:15 AM;1,164;472;621;673;546;33;1,974;2,059;469;2,097;642;190
Jun 3, 2020;6:30 AM;1,160;463;621;648;754;33;1,974;2,077;482;2,172;871;190
Jun 3, 2020;6:45 AM;1,155;466;631;627;1,013;33;1,975;2,079;516;2,217;961;190
Jun 3, 2020;7:00 AM;1,162;463;639;576;1,304;33;1,975;2,068;562;2,261;1,115;190
Jun 3, 2020;7:15 AM;1,161;462;647;504;1,649;33;1,977;2,068;575;2,294;1,071;190
Jun 3, 2020;7:30 AM;1,164;463;654;439;2,007;33;1,976;2,081;578;2,315;1,038;190
Jun 3, 2020;7:45 AM;1,163;462;663;361;2,371;33;1,973;2,073;573;2,327;1,091;190
Jun 3, 2020;8:00 AM;1,164;463;672;291;2,748;33;1,963;2,059;531;2,309;1,083;190
Jun 3, 2020;8:15 AM;1,160;465;690;229;3,144;33;1,961;2,061;506;2,257;1,019;190
Jun 3, 2020;8:30 AM;1,161;438;697;188;3,559;33;1,960;2,057;497;2,267;931;190
Jun 3, 2020;8:45 AM;1,159;422;701;157;3,947;33;1,959;2,054;494;2,240;752;190
Jun 3, 2020;9:00 AM;1,157;474;707;137;4,309;33;1,952;2,072;496;2,247;637;190
Jun 3, 2020;9:15 AM;1,157;463;711;144;4,655;33;1,952;2,073;494;2,194;589;190
Jun 3, 2020;9:30 AM;1,156;431;671;151;5,017;33;1,952;2,064;497;2,179;559;190
Jun 3, 2020;9:45 AM;1,154;413;663;156;5,352;33;1,952;2,058;484;2,202;384;190
Jun 3, 2020;10:00 AM;1,152;431;690;164;5,635;33;1,948;2,014;458;2,224;337;191
Jun 3, 2020;10:15 AM;1,149;427;714;178;5,888;33;1,942;1,991;451;2,228;247;191
Jun 3, 2020;10:30 AM;1,152;460;699;196;6,157;33;1,942;2,003;442;2,184;348;191
Jun 3, 2020;10:45 AM;1,150;438;671;218;6,374;33;1,941;2,008;453;2,161;304;191
Jun 3, 2020;11:00 AM;1,149;464;672;245;6,564;33;1,941;1,978;435;2,137;179;190
Jun 3, 2020;11:15 AM;1,149;442;739;273;6,692;33;1,939;1,947;436;2,136;97;190
Jun 3, 2020;11:30 AM;1,146;442;831;311;6,809;33;1,938;1,942;440;2,134;83;190
Jun 3, 2020;11:45 AM;1,144;428;886;342;6,908;33;1,938;1,929;438;2,127;90;190
Jun 3, 2020;12:00 PM;1,141;486;928;375;6,931;33;1,936;1,915;447;2,109;135;190
Jun 3, 2020;12:15 PM;1,144;453;966;421;6,951;33;1,935;1,879;453;2,114;93;190
Jun 3, 2020;12:30 PM;1,143;446;986;470;6,912;33;1,935;1,873;455;2,116;97;190
Jun 3, 2020;12:45 PM;1,143;425;1,029;508;6,834;33;1,935;1,868;456;2,111;76;190
Jun 3, 2020;1:00 PM;1,141;501;1,022;554;6,768;33;1,939;1,856;477;2,109;251;191
Jun 3, 2020;1:15 PM;1,139;473;985;586;6,657;33;1,934;1,848;475;2,120;275;189
Jun 3, 2020;1:30 PM;1,140;445;949;630;6,571;33;1,934;1,856;473;2,110;313;189
Jun 3, 2020;1:45 PM;1,141;422;957;676;6,391;33;1,931;1,849;472;2,128;223;189
Jun 3, 2020;2:00 PM;1,140;423;1,017;788;6,186;33;1,935;1,854;481;2,123;254;189
Jun 3, 2020;2:15 PM;1,141;470;1,048;854;6,016;33;1,937;1,849;486;2,117;239;189
Jun 3, 2020;2:30 PM;1,142;496;1,049;912;5,901;33;1,949;1,849;510;2,121;223;189
Jun 3, 2020;2:45 PM;1,144;485;1,068;1,014;5,705;33;1,957;1,849;471;2,116;193;189
Jun 3, 2020;3:00 PM;1,147;454;1,079;1,046;5,510;33;1,953;1,863;456;2,145;103;188
Jun 3, 2020;3:15 PM;1,148;443;1,076;1,119;5,291;33;1,953;1,876;455;2,149;112;188
Jun 3, 2020;3:30 PM;1,150;440;1,035;1,213;5,098;33;1,951;1,863;453;2,138;95;188
Jun 3, 2020;3:45 PM;1,149;438;1,041;1,313;4,874;33;1,949;1,864;454;2,081;79;187
Jun 3, 2020;4:00 PM;1,151;455;1,070;1,494;4,616;33;1,928;1,904;452;2,078;55;187
Jun 3, 2020;4:15 PM;1,153;426;1,108;1,632;4,331;33;1,909;1,910;451;2,047;70;220
Jun 3, 2020;4:30 PM;1,153;454;1,101;1,705;4,095;33;1,906;1,918;452;2,022;57;296
Jun 3, 2020;4:45 PM;1,152;477;1,077;1,846;3,832;33;1,917;1,865;452;2,065;130;281
Jun 3, 2020;5:00 PM;1,155;452;1,114;1,926;3,568;33;1,918;1,718;451;2,105;270;187
Jun 3, 2020;5:15 PM;1,156;433;1,153;2,049;3,271;33;1,911;1,744;453;2,081;244;188
Jun 3, 2020;5:30 PM;1,154;448;1,153;2,095;2,951;33;1,919;1,774;450;2,115;220;188
Jun 3, 2020;5:45 PM;1,154;482;1,148;1,984;2,640;33;1,921;1,866;446;2,158;295;188
Jun 3, 2020;6:00 PM;1,156;421;1,162;1,935;2,314;33;1,918;1,962;438;2,196;552;188
Jun 3, 2020;6:15 PM;1,154;468;1,164;1,878;1,983;33;1,914;2,005;439;2,202;701;188
Jun 3, 2020;6:30 PM;1,154;470;1,162;1,820;1,654;33;1,921;2,026;440;2,241;970;188
Jun 3, 2020;6:45 PM;1,157;487;1,142;1,716;1,360;33;1,927;2,034;445;2,273;1,167;188
Jun 3, 2020;7:00 PM;1,161;445;1,126;1,714;1,098;33;1,935;2,014;475;2,278;937;189
Jun 3, 2020;7:15 PM;1,160;461;1,169;1,650;876;33;1,936;2,014;474;2,274;1,161;189
Jun 3, 2020;7:30 PM;1,162;457;1,211;1,655;699;33;1,936;2,017;472;2,271;1,174;189
Jun 3, 2020;7:45 PM;1,161;435;1,262;1,641;547;33;1,945;2,023;465;2,255;1,106;189
Jun 3, 2020;8:00 PM;1,165;426;1,307;1,639;409;33;1,958;2,040;461;2,208;1,059;189
Jun 3, 2020;8:15 PM;1,168;426;1,315;1,626;281;33;1,958;2,032;452;2,205;1,041;189
